DATAFLOW,LAST UPDATE,freq,unit,month,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2000,6436,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2001,5932,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2002,5415,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2003,5719,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2004,5826,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2005,5894,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2006,6106,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2007,6137,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2008,6695,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2009,6706,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2010,6570,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2011,6084,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2012,5951,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2013,5624,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2014,5886,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2015,5925,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2016,5508,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2017,5614,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2018,5491,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2019,5437,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2020,5410,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2021,4856,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2022,5085,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,2023,5344,p
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BY,2005,2679,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BY,2006,8717,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BY,2007,9030,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BY,2008,9649,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BY,2009,10080,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BY,2011,9429,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BY,2012,9796,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BY,2013,10234,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BY,2014,10143,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BY,2015,10078,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BY,2016,10028,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BY,2017,9032,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BY,2018,8348,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1960,7824,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1961,8230,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1962,8504,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1963,8875,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1964,9208,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1965,9506,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1966,9322,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1967,8844,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1968,8940,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1969,8888,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1970,8402,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1971,8219,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1972,7759,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1973,7462,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1974,7088,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1975,6959,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1976,6195,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1977,6192,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1978,6001,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1979,6019,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1980,6241,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1981,6140,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1982,6138,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1983,6311,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1984,6323,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1985,6326,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1986,6367,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1987,6228,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1988,6445,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1989,6577,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,CH,1990,6906,
